SKU/Code,Name,Category,Barcode,Model,Cost Price (LKR),Wholesale Price (LKR),Dealer Price (LKR),Stock Quantity,Pack Size,Carton Units,Low Stock Level,Status
1510,15 inch LCD Monitor Used (1m Warranty),General,,,0.0,0.0,0.0,0,1,1,5,active
1575,Credit,General,,,0.0,0.0,0.0,0,1,1,5,inactive
1555,Fan (used),General,,,0.0,0.0,0.0,0,1,1,5,active
1590,HY-210 TV Mount Full Adjustment 10-32 Inch,General,,,1000.0,1200.0,1140.0,0,1,1,5,active
1520,High Speed 256GB SD Card Taiwan C10 (3m Warranty),General,,,4100.0,7500.0,7125.0,1,1,1,5,active
1566,Networking Cable Tester New (6m Warranty),General,,,0.0,0.0,0.0,0,1,1,5,active
1509,ViewSonic 19 inch C-Grade Monitor Used (1m Warranty),General,,,2000.0,2400.0,2280.0,0,1,1,5,active
1567,Wiring Insulation Tape Roll - Small,General,,,0.0,0.0,0.0,0,1,1,5,active
1048,Kingston A400 120GB Sata SSD New (3Y Warranty ),2.5 Inch NEW,,,3250.0,3900.0,3705.0,0,1,1,5,active
1049,Kingston KC600 256GB SSD New (3Y Warranty),2.5 Inch NEW,,,5500.0,10900.0,10355.0,2,1,1,5,active
1050,Kingston KC600 512GB SSD New (3Y Warranty),2.5 Inch NEW,,,9000.0,10800.0,10260.0,0,1,1,5,active
1052,WD Green 120GB Sata SSD New (3Y Warranty),2.5 Inch NEW,,,3250.0,3900.0,3705.0,0,1,1,5,active
1481,AZEK 128GB SATA SSD NEW (2Y Warranty),2.5 Inch NEW,,,6250.0,7900.0,7505.0,2,1,1,5,active
1051,Samsung 870 EVO 500GB SATA SSD New (3Y Warranty),2.5 Inch NEW,,,9250.0,11100.0,10545.0,0,1,1,5,active
1368,Team Vulcan Z 1TB SATA SSD New (3Y Warranty),2.5 Inch NEW,,,23900.0,28680.0,27246.0,0,1,1,5,active
1117,Intel 120GB Sata SSD Used (3m Warranty),2.5 USED,,,2250.0,2700.0,2565.0,0,1,1,5,active
1122,ADATA 480GB SATA SSD Used (3m Warranty),2.5 USED,,,6500.0,10500.0,9975.0,1,1,1,5,active
1119,Branded 120/128GB Sata SSD Used (3m Warranty),2.5 USED,,,3500.0,4200.0,3990.0,0,1,1,5,active
1402,Branded 240/256GB Sata SSD Used (3m Warranty),2.5 USED,,,4500.0,5400.0,5130.0,0,1,1,5,active
1432,Colorful 160GB Sata SSD Used (3m Warranty),2.5 USED,,,3250.0,3900.0,3705.0,0,1,1,5,active
1120,Mix Brand 120/128GB SSD Used (3m warranty),2.5 USED,,,3302.8,4900.0,4655.0,19,1,1,5,active
1121,Mix Brand 240/256GB SSD Used (3m Warranty),2.5 USED,,,6300.0,8000.0,7600.0,6,1,1,5,active
1118,WD Green 120GB Sata SSD Used (3m Warranty),2.5 USED,,,3500.0,3900.0,3705.0,1,1,1,5,active
1105,2.5 to 3.5 Bracket,Adapters,,,160.0,350.0,332.5,9,1,1,5,active
1089,HDMI TO VGA Adapter with audio,Adapters,,,320.0,600.0,570.0,4,1,1,5,active
1031,Laptop Caddy Slim Black,Adapters,,,325.0,600.0,570.0,11,1,1,5,active
1088,VGA TO DVI Adapter,Adapters,,,350.0,700.0,665.0,3,1,1,5,active
1266,1080P HDMI Splitter 1 to 2,Adapters,,,1250.0,2200.0,2090.0,1,1,1,5,active
1464,2.5 inch Hard disk USB 2.0 Enclosure (6m Warranty0,Adapters,,,850.0,1600.0,1520.0,4,1,1,5,active
1030,2.5 inch Hard disk USB 3.0 Enclosure (6m Warranty0,Adapters,,,650.0,1500.0,1425.0,1,1,1,5,active
1500,6 in 1 OTG Card Reader (3m Warranty),Adapters,,,450.0,800.0,760.0,1,1,1,5,active
1223,7.1 USB Sound Card New (3m Warranty),Adapters,,,280.0,750.0,712.5,5,1,1,5,active
1106,HDMI TO DVI Convertor,Adapters,,,200.0,500.0,475.0,2,1,1,5,active
1531,HMDI to DP Adapter New,Adapters,,,550.0,850.0,807.5,4,1,1,5,active
1530,Mini HDMI to HDMI Convertor,Adapters,,,200.0,450.0,427.5,5,1,1,5,active
1092,Motherboard USB Header Aadapter,Adapters,,,375.0,1000.0,950.0,10,1,1,5,active
1091,SATA TO USB Adapter,Adapters,,,500.0,1000.0,950.0,1,1,1,5,active
1107,VGA TO DVI Convertor,Adapters,,,200.0,450.0,427.5,7,1,1,5,active
1033,VGA to HDMI Adapter with Audio (Box),Adapters,,,1000.0,1750.0,1662.5,5,1,1,5,active
1455,DELL EMC Power Edge T40 Intel Xeon 2224G BareBone (3m Warranty),Branded PC,,,9000.0,14500.0,13775.0,1,1,1,5,active
1457,DELL OPTIPLEX 3020 I3 4th Gen PC Barebone (3m Warranty),Branded PC,,,8250.0,9900.0,9405.0,0,1,1,5,active
1213,DELL OPTIPLEX 390 i5 2nd Gen 4GB/500GB Desktop PC Used (3m Warranty),Branded PC,,,12500.0,15000.0,14250.0,0,1,1,5,active
1446,Dell Microtower i3 4th Gen 4/500 Mini PC Used (3m Warranty),Branded PC,,,12750.0,15300.0,14535.0,0,1,1,5,active
1458,HP Compaq 6200 Pro 2nd Gen PC Barebone (3m Warranty),Branded PC,,,5500.0,8500.0,8075.0,1,1,1,5,active
1580,Packard Bell iMedia S2984 PC 4GB DDR3/500GB HDD (3 months warranty),Branded PC,,,7500.0,9000.0,8550.0,0,1,1,5,active
1586,SAMSUNG i3 2nd Gen (H61) PC 4GB/500HDD (3m warranty),Branded PC,,,11000.0,13200.0,12540.0,0,1,1,5,active
1214,TG I5 4th Gen 4GB/500GB Desktop PC Used (3m Warranty),Branded PC,,,17500.0,21000.0,19950.0,0,1,1,5,active
1217,4G Dual Lens 2MP V380 CCTV Camera New (6m Warranty),CAMERA,,,4558.33,5470.0,5196.5,0,1,1,5,active
1430,4G Dual Lens 6MP Solar Camera New (6m Warranty),CAMERA,,,9600.0,11000.0,10450.0,1,1,1,5,active
1235,4G Dual Lens 8MP V380 CCTV Camera New (6m Warranty),CAMERA,,,5345.0,6900.0,6555.0,2,1,1,5,active
1237,4G Triple Lens V380 CCTV 360 Camera New (6m Warranty),CAMERA,,,7100.0,8520.0,8094.0,0,1,1,5,active
1576,4G Triple Lens V380 PRO Camera New - SC33-G (6m Warranty),CAMERA,,,7083.33,8900.0,8455.0,6,1,1,5,active
1423,8 Channel Wifi Wireless NVR New (6m Warranty),CAMERA,,,8000.0,9500.0,9025.0,2,1,1,5,active
1425,Camera 12V Power Supply New (6m Warranty),CAMERA,,,500.0,600.0,570.0,0,1,1,5,active
1592,GVTECH Wireless video door phone new (6m Warranty),CAMERA,,,13750.0,16900.0,16055.0,1,1,1,5,active
1577,IDIZ Dual lens 4G 2K Outdoor Waterproof CCTV Camera New (6+6m Warranty),CAMERA,,,9000.0,10900.0,10355.0,5,1,1,5,active
1502,ITECH TRIPLE LENS WIFI Camera New (6m Warranty),CAMERA,,,7850.0,8900.0,8455.0,1,1,1,5,active
1424,Itech 4G Triple Lens 12MP 6K V380 Camera New (6m Warranty),CAMERA,,,7050.0,8900.0,8455.0,1,1,1,5,active
1591,Lenvii C500 Barcode Scanner Handheld New (3m Warranty),CAMERA,,,5750.0,7000.0,6650.0,1,1,1,5,active
1221,Q-SEE MS-901 HD Webcam with Mic (6m Warranty),CAMERA,,,1100.0,2250.0,2137.5,1,1,1,5,active
1238,WIFI Bulb Security Camera (E27) New (3m Warranty),CAMERA,,,1850.0,3000.0,2850.0,1,1,1,5,active
1422,WIFI Dual Lens 6MP CCTV Camera New (6m Warranty),CAMERA,,,4583.33,5750.0,5462.5,3,1,1,5,active
